Geography,Geographic Area Name,Total,T_ Male,T_ Female,T_ African American,T_ American Indian/Alaska Native,T_ Asian,T_ Hawaiian/ Pacific Islander,T_ Two or more races,T_ Other race,T_ Hispanic or Latino,T_ White,BP_Total,BP_ Male,BP_ Female,BP_ African American%,BP_ Asian%,BP_ Two or more races%,BP_ Hispanic or Latino%,BP_ White%,T_Households,Households<$10k,Households>$200k,Median income,Mean income,BP_ Total%,state,county
0500000US38071,"Ramsey County, North Dakota",11162,5550,5612,59,1297,109,12,397,89,352,9195,1761,846,915,0.0,0.0,8.8,75.6,12.5,5049,5.7,5.0,61490,80272,15.8,38,071
0500000US38073,"Ransom County, North Dakota",5463,2836,2627,124,14,65,0,280,62,117,4892,542,218,324,10.5,0.0,29.3,0.0,9.1,2347,4.6,3.6,71462,85458,9.9,38,073
0500000US38075,"Renville County, North Dakota",2212,1173,1039,0,0,4,0,41,8,58,2116,142,66,76,0,0.0,58.5,13.8,5.2,859,2.7,6.2,77067,92560,6.4,38,075
0500000US38077,"Richland County, North Dakota",15266,7677,7589,89,508,16,0,541,201,563,13688,1705,814,891,43.8,0.0,19.4,32.0,9.0,6781,5.9,7.9,67089,91166,11.2,38,077
0500000US38079,"Rolette County, North Dakota",11947,5861,6086,98,9239,52,0,387,52,297,2069,2969,1426,1543,89.8,0.0,25.1,21.9,7.2,3668,10.8,2.6,53806,69053,24.9,38,079
0500000US38081,"Sargent County, North Dakota",3769,2077,1692,100,28,12,0,105,51,125,3427,234,140,94,16.0,0.0,0.0,28.0,5.3,1732,2.8,4.8,75648,93585,6.2,38,081
0500000US38083,"Sheridan County, North Dakota",1327,676,651,0,18,0,0,38,0,6,1269,92,34,58,0,0,13.2,33.3,6.7,644,2.6,5.1,68684,83864,6.9,38,083
0500000US38085,"Sioux County, North Dakota",3827,1922,1905,8,3270,0,0,95,14,31,432,1521,719,802,100.0,0,13.7,0.0,3.9,1047,13.9,3.3,41201,59293,39.7,38,085
0500000US38087,"Slope County, North Dakota",837,466,371,0,9,0,0,28,0,1,800,39,21,18,0,0,21.4,100.0,4.1,351,1.1,9.1,70625,96181,4.7,38,087
0500000US38089,"Stark County, North Dakota",32084,16775,15309,796,455,387,160,994,980,1890,27758,3255,1630,1625,3.0,3.4,26.9,37.4,8.6,13200,6.0,8.2,78734,98095,10.1,38,089
0500000US38091,"Steele County, North Dakota",1774,913,861,4,0,0,0,58,4,39,1707,231,117,114,0.0,0,0.0,0.0,13.5,716,8.8,7.8,85750,94649,13.0,38,091
0500000US38093,"Stutsman County, North Dakota",19997,9890,10107,309,199,135,0,471,122,511,18473,2625,1231,1394,11.0,17.8,4.5,0.2,13.6,9110,6.3,5.2,59167,85575,13.1,38,093
0500000US38095,"Towner County, North Dakota",2100,1111,989,8,143,9,0,112,14,83,1784,288,104,184,0.0,100.0,7.1,18.1,13.7,964,7.2,8.6,61250,83939,13.7,38,095
0500000US38097,"Traill County, North Dakota",7544,3850,3694,58,85,26,3,337,56,298,6848,495,257,238,32.8,0.0,12.5,3.7,6.3,3285,4.5,8.5,81157,99090,6.6,38,097
0500000US38099,"Walsh County, North Dakota",10326,5350,4976,75,127,73,0,637,201,1276,8566,1000,438,562,32.0,11.0,10.2,12.0,8.1,4467,4.5,5.1,68082,87075,9.7,38,099
0500000US38101,"Ward County, North Dakota",67831,35457,32374,2880,834,1116,73,4772,1415,4514,55291,6127,2426,3701,11.0,10.8,12.4,16.6,7.5,28351,4.4,8.8,78143,97908,9.0,38,101
0500000US38103,"Wells County, North Dakota",3889,1927,1962,0,14,11,0,70,23,83,3704,419,183,236,0,0.0,55.7,86.7,8.1,1800,2.3,6.8,59732,89656,10.8,38,103
0500000US38105,"Williams County, North Dakota",38641,20943,17698,2010,824,420,29,2440,1739,3684,29620,2865,1326,1539,25.6,4.3,11.1,7.5,5.6,15599,3.0,12.5,86139,113117,7.4,38,105
0500000US39001,"Adams County, Ohio",27050,13547,13503,129,38,127,6,548,124,300,25900,5313,2623,2690,21.7,0.0,35.9,16.0,19.4,10175,7.6,3.9,46234,65728,19.6,39,001
0500000US39003,"Allen County, Ohio",98017,48029,49988,9890,181,850,15,5479,1294,3436,78792,12081,5395,6686,27.1,6.0,24.9,19.7,9.4,40735,4.4,3.7,58976,76592,12.3,39,003
0500000US39005,"Ashland County, Ohio",50670,25353,25317,376,68,310,6,1309,148,843,47976,5950,2760,3190,4.5,11.3,16.7,25.5,11.5,20478,3.1,3.2,62254,76439,11.7,39,005
0500000US39007,"Ashtabula County, Ohio",94515,47634,46881,2574,85,371,30,4465,942,4457,83388,17024,7999,9025,33.2,5.4,29.9,27.8,16.6,38549,5.9,3.3,53663,71398,18.0,39,007
0500000US39009,"Athens County, Ohio",53380,26973,26407,923,48,1477,10,1719,203,878,48365,13049,6628,6421,29.1,40.8,31.9,25.2,23.6,22582,10.4,4.4,48750,69103,24.4,39,009
0500000US39011,"Auglaize County, Ohio",45518,22731,22787,374,19,152,0,1145,385,841,43180,3005,1194,1811,0.0,0.0,28.6,20.2,6.1,18858,3.0,5.5,75231,90018,6.6,39,011
0500000US39013,"Belmont County, Ohio",62795,31703,31092,1152,40,409,33,2460,235,698,58234,8800,4140,4660,14.0,16.1,41.3,26.6,12.7,25974,5.8,4.2,56943,74121,14.0,39,013
0500000US39015,"Brown County, Ohio",42951,21262,21689,372,13,115,0,819,113,542,41263,6829,3037,3792,14.0,2.6,31.3,41.7,15.5,16958,4.0,5.2,66677,80682,15.9,39,015
0500000US39017,"Butler County, Ohio",377008,186267,190741,30802,358,14965,199,21588,6992,19542,293852,44672,19958,24714,17.6,14.8,17.7,24.9,9.7,144536,4.8,9.6,77062,98820,11.8,39,017
0500000US39019,"Carroll County, Ohio",26298,13457,12841,206,0,0,0,910,107,367,24961,3206,1370,1836,23.3,0,5.1,6.3,12.4,11355,4.6,5.0,59872,78349,12.2,39,019
0500000US39021,"Champaign County, Ohio",37975,18899,19076,657,134,127,0,1321,266,649,35220,3512,1563,1949,14.0,4.7,7.3,0.0,9.1,15612,3.3,3.7,70486,82162,9.2,39,021
0500000US39023,"Clark County, Ohio",132426,65043,67383,10459,71,842,84,6361,1677,4890,110442,20647,9469,11178,28.0,8.3,28.3,39.9,12.6,55429,5.3,3.3,58954,74459,15.6,39,023
0500000US39025,"Clermont County, Ohio",206653,102984,103669,2817,128,2498,0,7151,1236,4499,190362,17309,7139,10170,13.0,15.0,15.2,17.7,7.9,82712,3.3,9.9,79573,102783,8.4,39,025
0500000US39027,"Clinton County, Ohio",40824,20399,20425,577,23,308,7,1229,383,752,37984,5905,2535,3370,37.3,29.2,23.2,35.1,13.3,16390,5.2,4.8,64210,81302,14.5,39,027
0500000US39029,"Columbiana County, Ohio",98212,48928,49284,1521,53,480,86,2988,674,1766,91883,12948,5480,7468,21.0,20.0,27.1,13.8,12.6,41251,5.1,2.9,55473,72493,13.2,39,029
0500000US39031,"Coshocton County, Ohio",36075,17836,18239,369,18,155,0,875,121,424,34263,6804,2858,3946,35.2,74.8,27.3,30.9,18.1,14739,7.3,2.4,52048,67542,18.9,39,031
0500000US39033,"Crawford County, Ohio",40970,20274,20696,309,5,274,0,1009,80,759,38747,5759,2616,3143,42.7,0.0,29.6,15.4,13.4,18168,5.3,2.2,52486,68161,14.1,39,033
0500000US39035,"Cuyahoga County, Ohio",1232159,592024,640135,358698,2502,38600,450,70607,24239,80791,709450,203273,90570,112703,28.5,11.8,21.4,25.2,9.3,552421,7.1,7.9,60074,88627,16.5,39,035
0500000US39037,"Darke County, Ohio",51058,25699,25359,340,18,217,0,1164,201,889,48658,5641,2337,3304,16.8,58.1,29.0,22.9,10.3,21026,4.8,4.6,60237,79351,11.0,39,037
0500000US39039,"Defiance County, Ohio",37531,18966,18565,596,100,123,0,1971,1264,4013,32108,3950,1712,2238,34.4,8.9,13.6,12.0,9.7,15262,2.5,3.4,69302,83014,10.5,39,039
0500000US39041,"Delaware County, Ohio",213582,107027,106555,8066,125,15623,77,10253,1812,6186,175057,9668,4241,5427,13.8,1.7,8.0,9.9,4.0,78456,2.3,24.9,123995,154569,4.5,39,041
0500000US39043,"Erie County, Ohio",74100,36387,37713,6513,162,558,21,4420,1002,3557,60203,8501,3747,4754,22.0,0.9,25.3,17.0,9.3,32103,6.0,5.7,65171,87691,11.5,39,043
0500000US39045,"Fairfield County, Ohio",155814,77278,78536,12727,92,3497,137,6344,1761,3944,129980,13579,6053,7526,12.0,5.0,5.9,13.8,8.4,58723,2.8,9.3,82969,102535,8.7,39,045
0500000US39047,"Fayette County, Ohio",28452,14052,14400,733,9,236,9,1091,270,675,26012,4499,1759,2740,21.1,0.0,24.3,22.1,15.1,11620,6.6,5.0,56773,73872,15.8,39,047
0500000US39049,"Franklin County, Ohio",1290258,635702,654556,298838,2623,68559,367,87504,32809,78034,778001,187488,86990,100498,25.4,12.0,18.0,21.3,9.8,542366,4.6,9.3,71070,98356,14.5,39,049
0500000US39051,"Fulton County, Ohio",42108,21167,20941,170,167,214,7,2132,990,3848,37049,3577,1420,2157,24.7,8.9,21.5,11.0,7.8,16869,2.7,6.8,71453,88950,8.5,39,051
0500000US39053,"Gallia County, Ohio",28640,14064,14576,480,21,246,0,1077,170,400,26573,4916,2478,2438,36.7,0.0,56.9,42.8,15.3,11303,6.2,4.1,55533,73571,17.2,39,053
